MeltWater_F,MeltWater_Cl,sample
1.5733030399558023,1.375870697900335,Ap1
2.309080804532914,2.131058215648036,Ap1
3.2335145091861333,3.169748532162156,Ap1
1.7105433606569114,1.5117908108053837,Ap1
2.235118550121975,2.052236869271122,Ap1
2.3488771469369376,2.173733996293499,Ap1
3.294641284046103,3.241901537628932,Ap1
2.542712917912598,2.3842338300418557,Ap1
3.829786540071673,3.8919700351973674,Ap1
2.647937906889407,2.5003318123796188,Ap1
3.6227541823177516,3.6365541290379486,Ap1
3.248496162633436,3.1873928594406666,Ap1
2.8001970719184377,2.6705905156444816,Ap1
2.7554241011804774,2.6202468600529234,Ap1
4.367483860696391,4.578672044810253,Ap1
2.550689046605466,2.3929892044782703,Ap1
2.447036894571004,2.279786159798603,Ap1
3.6367391427719156,3.6536511262006326,Ap1
3.0630651647312677,2.9708228258965352,Ap1
3.475938550199907,3.458430992731815,Ap1
2.949585952986309,2.8402378989579953,Ap1
2.386225895419289,2.2139533410685703,Ap1
3.184999378297151,3.112788006270616,Ap1
4.0425095749579105,4.159593061443205,Ap1
2.1452225862402403,1.9572998323550628,Ap1
3.9481570094244254,4.040238984630622,Ap1
2.492811376666641,2.3296246101940112,Ap1
3.5303532869617364,3.524159225722576,Ap1
2.4763269208029355,2.3116485612333917,Ap1
5.392154496467146,5.9832189885246505,Ap1
1.5377420085346376,1.3410296392918157,Ap1
2.7782236942287373,2.6458543008813695,Ap1
2.713530473149246,2.573350280402025,Ap1
1.473940480220302,1.2789130426305753,Ap1
3.3603508468234837,3.3199434474330576,Ap1
2.400987965931366,2.2298948783988117,Ap1
2.0546104012879534,1.8625709596502817,Ap1
1.5326229378253378,1.336027097167074,Ap1
8.054671160347668,10.301104154176437,Ap1
1.0014256945595177,0.835001907147155,Ap1
1.5592934087870485,1.3621260409797078,Ap1
3.2081000105244972,3.139876180407756,Ap1
1.6225397432590956,1.4243680850143032,Ap1
1.97831356202995,1.783562540683161,Ap1
1.5968188372676642,1.3989961627473162,Ap1
2.3861572749474806,2.2138792972512684,Ap1
1.6657607349421284,1.4671854752234073,Ap1
3.161015226476148,3.084728736475567,Ap1
2.3315752315959766,2.1551574677899983,Ap1
2.812309331582359,2.6842495216284803,Ap1
1.3522074602148113,1.1618081740853863,Ap1
1.8864536318137983,1.6893585493466357,Ap1
